"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric_Pad1.15x1.50mm_HandSolder";1;"22n";;;
2;"C2";"C_0805_2012Metric_Pad1.15x1.50mm_HandSolder";1;"47 n";;;
3;"C3,C9";"C_0805_2012Metric_Pad1.15x1.50mm_HandSolder";2;"1u";;;
4;"C4";"C_0805_2012Metric_Pad1.15x1.50mm_HandSolder";1;"51p";;;
5;"C5";"C_1206_3216Metric_Pad1.24x1.80mm_HandSolder";1;"100u";;;
6;"C6,C7";"C_1206_3216Metric_Pad1.24x1.80mm_HandSolder";2;"0.22u";;;
7;"C8";"C_1206_3216Metric_Pad1.24x1.80mm_HandSolder";1;"47u";;;
8;"C10";"C_0805_2012Metric_Pad1.15x1.50mm_HandSolder";1;"0.1u";;;
9;"C11";"C_1206_3216Metric_Pad1.24x1.80mm_HandSolder";1;"10u";;;
10;"D1";"LED_1206_3216Metric_Pad1.07x1.80mm_HandSolder";1;"LED";;;
11;"R1,R6";"R_0603_1608Metric_Pad0.84x1.00mm_HandSolder";2;"4.7k";;;
12;"R2,R4,R16";"R_0603_1608Metric_Pad0.84x1.00mm_HandSolder";3;"511k";;;
13;"R3,R9,R14,R15";"R_0603_1608Metric_Pad0.84x1.00mm_HandSolder";4;"1k";;;
14;"R5,R7,R10,R11,R13,R17,R19";"R_0603_1608Metric_Pad0.84x1.00mm_HandSolder";7;"10k";;;
15;"R8";"R_0603_1608Metric_Pad0.84x1.00mm_HandSolder";1;"51k";;;
16;"R12";"R_0603_1608Metric_Pad0.84x1.00mm_HandSolder";1;"220";;;
17;"R18";"R_0603_1608Metric_Pad0.84x1.00mm_HandSolder";1;"100";;;
18;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM4562";;;
19;"J1";"Jack_Horizontal";1;"Jack-DC";;;
20;"RV1";"Pot_series_296";1;"500k";;;
21;"RV2";"Pot_series_296";1;"25k";;;
22;"RV3";"Pot_series_296";1;"100k";;;
23;"U1";"FS57003PLT2B2M2QE";1;"foot_switch";;;
24;"Q1,Q2";"TO-18-3";2;"2N2222";;;
25;"CON1,CON2";"Headphone_Jack_6.35mm_RA49B14B";2;"SN49B12B";;;
26;"MK1,MK2,MK3,MK4";"MountingHole_3.2mm_M3";4;"Mounting_Hole";;;
27;"D2,D3";"D_SOD-323_HandSoldering";2;"1N4148";;;
